date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:03:49	689924/689924	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226753e645-a8704%22	https://dashboardkit.io/assets/fonts/fontawesome/fa-brands-400.svg	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/fontawesome/fa-brands-400.svg	(from https://dashboardkit.io/assets/fonts/fontawesome.css)
13:03:50	132812/132812	---M--	200	added ('OK')	application/font-woff2	etag:%226753e645-206cc%22	https://dashboardkit.io/assets/fonts/material/material.woff2	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/material/material.woff2	(from https://dashboardkit.io/assets/fonts/material.css)
13:03:50	4150/4150	---MCZ	200	added ('OK')	application/javascript	etag:W/%226753e645-1036%22	https://dashboardkit.io/assets/js/plugins/peity-vanilla.min.js	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/js/plugins/peity-vanilla.min.js	(from https://dashboardkit.io/dashboard/analytics.html)
13:03:50	1152/1152	---MCZ	200	added ('OK')	application/javascript	etag:W/%226753e646-480%22	https://dashboardkit.io/assets/js/widgets/revenue-chart-1.js	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/js/widgets/revenue-chart-1.js	(from https://dashboardkit.io/dashboard/analytics.html)
13:03:50	97318/97318	---M--	200	added ('OK')	image/jpeg	etag:%226753e645-17c26%22	https://dashboardkit.io/assets/images/authentication/img-auth-bg.jpg	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/images/authentication/img-auth-bg.jpg	(from https://dashboardkit.io/assets/css/style.css)
13:03:50	881/881	---MCZ	200	added ('OK')	application/javascript	etag:W/%226753e646-371%22	https://dashboardkit.io/assets/js/widgets/customer-chart-1.js	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/js/widgets/customer-chart-1.js	(from https://dashboardkit.io/dashboard/analytics.html)
13:03:51	915/915	---MCZ	200	added ('OK')	application/javascript	etag:W/%226753e646-393%22	https://dashboardkit.io/assets/js/widgets/customer-chart-2.js	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/js/widgets/customer-chart-2.js	(from https://dashboardkit.io/dashboard/analytics.html)
13:03:51	8366/8366	---M--	200	added ('OK')	image/jpeg	etag:%226753e645-20ae%22	https://dashboardkit.io/assets/images/user/avatar-4.jpg	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/images/user/avatar-4.jpg	(from https://dashboardkit.io/dashboard/affiliate.html)
13:03:52	9771/9771	---M--	200	added ('OK')	image/jpeg	etag:%226753e645-262b%22	https://dashboardkit.io/assets/images/user/avatar-5.jpg	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/images/user/avatar-5.jpg	(from https://dashboardkit.io/dashboard/affiliate.html)
13:03:52	10297/10297	---M--	200	added ('OK')	image/jpeg	etag:%226753e645-2839%22	https://dashboardkit.io/assets/images/user/avatar-6.jpg	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/images/user/avatar-6.jpg	(from https://dashboardkit.io/dashboard/affiliate.html)
